Name,Distance,Rating,Review Count,Latitude,Longitude
Unchai Thai Restaurant,0.0,4.5,85.0,49.265112,-123.145913
Urban Tadka,0.0,5.0,9.0,49.27827,-123.07566
Viet Family- The Vegan House,0.0,5.0,22.0,49.27182591723078,-123.06974969875908
Viet House,0.0,3.5,73.0,49.2546156379752,-123.114992380142
Vij's Restaurant,0.0,4.0,402.0,49.25754,-123.11479
Vonns,0.0,4.5,40.0,49.28724,-123.14124
Water Street Cafe,0.0,3.5,320.0,49.2842264,-123.1090181
Westcoast Poke,0.0,4.0,173.0,49.26409,-123.1140415
Won More Szechuan Cuisine,0.0,4.0,79.0,49.28723,-123.14144
Xing Fu Tang Canada,0.0,3.5,151.0,49.254554,-123.1149538
Yasma,0.0,4.5,28.0,49.29337295420655,-123.1321844713631
Yolks,0.0,3.5,355.0,49.2631139,-123.1163529
Yu Shang Hot Pot,0.0,4.5,80.0,49.263149,-123.125629
Yuji's From Japan,0.0,4.0,53.0,49.26829655056762,-123.18604454110448
Zakkushi Dining On Main,0.0,4.0,222.0,49.24910063019759,-123.1015460312003
Zakkushi on Denman,0.0,4.0,258.0,49.29108,-123.13643
Zarak By Afghan Kitchen,0.0,4.5,86.0,49.266224,-123.1006089
iDen & Quan Ju De Beijing Duck House,0.0,3.5,112.0,49.26021,-123.1148451
